,raw_words,task,quadruples
5455,The AC is by two window units which worked well .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['AC']}, 'category': 'Room_Amenities#General', 'opinion': {'from': 9, 'to': 10, 'term': ['well']}, 'sentiment': 'POS'}]"
5456,Tiffany was such a courteous and responsive host .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Tiffany']}, 'category': 'Service#General', 'opinion': {'from': 6, 'to': 7, 'term': ['responsive']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Tiffany']}, 'category': 'Service#General', 'opinion': {'from': 4, 'to': 5, 'term': ['courteous']}, 'sentiment': 'POS'}]"
5457,Nice people .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['people']}, 'category': 'Service#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Nice']}, 'sentiment': 'POS'}]"
5458,The unit is also close to public transportation in order to see other sites .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['unit']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
5459,"A quiet , respectable place with a lovely view !",ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['place']}, 'category': 'Hotel#Comfort', 'opinion': {'from': 1, 'to': 2, 'term': ['quiet']}, 'sentiment': 'POS'}, {'aspect': {'from': 4, 'to': 5, 'term': ['place']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 3, 'to': 4, 'term': ['respectable']}, 'sentiment': 'POS'}, {'aspect': {'from': 8, 'to': 9, 'term': ['view']}, 'category': 'Location#General', 'opinion': {'from': 7, 'to': 8, 'term': ['lovely']}, 'sentiment': 'POS'}]"
5460,They are great .. i would stay here again,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['They']}, 'category': 'Hotel#General', 'opinion': {'from': 2, 'to': 3, 'term': ['great']}, 'sentiment': 'POS'}]"
5461,Very friendly hosts also .,ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['hosts']}, 'category': 'Service#General', 'opinion': {'from': 0, 'to': 2, 'term': ['Very', 'friendly']}, 'sentiment': 'POS'}]"
5462,"The room is beautiful , as is the bathroom .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['room']}, 'category': 'Rooms#Design_features', 'opinion': {'from': 3, 'to': 4, 'term': ['beautiful']}, 'sentiment': 'POS'}, {'aspect': {'from': 8, 'to': 9, 'term': ['bathroom']}, 'category': 'Rooms#General', 'opinion': {'from': 3, 'to': 4, 'term': ['beautiful']}, 'sentiment': 'POS'}]"
5463,The room was exactly as described and expected .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['room']}, 'category': 'Hotel#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
5464,"In terms of location , the house is ideally located for visiting the main sites and central Boston - a 10 minute walk to the airport station which takes you to the city in a couple of stops .",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 8, 'to': 9, 'term': ['ideally']}, 'sentiment': 'POS'}]"
5465,The only problem was that cleaning was not perfect .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['cleaning']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 7, 'to': 9, 'term': ['not', 'perfect']}, 'sentiment': 'NEG'}]"
5466,Dat werkte uitstekend omdat ik niet de exacte tijd van mijn aankomst wist .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 2, 'to': 3, 'term': ['uitstekend']}, 'sentiment': 'POS'}]"
5467,"Everything was very clean and there is a window air conditioner in the room , so guests can control the temperature- which is super nice !",ACOS,"[{'aspect': {'from': 8, 'to': 11, 'term': ['window', 'air', 'conditioner']}, 'category': 'Room_Amenities#General', 'opinion': {'from': 23, 'to': 25, 'term': ['super', 'nice']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 2, 'to': 4, 'term': ['very', 'clean']}, 'sentiment': 'POS'}]"
5468,"Great location , great value .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Great']}, 'sentiment': 'POS'}, {'aspect': {'from': 4, 'to': 5, 'term': ['value']}, 'category': 'Hotel#General', 'opinion': {'from': 3, 'to': 4, 'term': ['great']}, 'sentiment': 'POS'}]"
5469,"Gleaming hardwood floors , 25 foot ceilings -- I felt like I was in a historic mansion .",ACOS,"[{'aspect': {'from': 16, 'to': 17, 'term': ['mansion']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 15, 'to': 16, 'term': ['historic']}, 'sentiment': 'POS'}]"
5470,It 's one of if not the best value in Boston .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 7, 'to': 9, 'term': ['best', 'value']}, 'sentiment': 'POS'}]"
5471,"Awesome location near the T station , with easy access to Back Bay and Downtown .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 8, 'to': 9, 'term': ['easy']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Awesome']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
5472,A great place - very comfortable bed and about 2 blocks to the nearest Metro station .,ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 1, 'to': 2, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': 6, 'to': 7, 'term': ['bed']}, 'category': 'Rooms#Comfort', 'opinion': {'from': 4, 'to': 6, 'term': ['very', 'comfortable']}, 'sentiment': 'POS'}]"
5473,The room is very neat and clean .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['room']}, 'category': 'Rooms#Cleanliness', 'opinion': {'from': 3, 'to': 5, 'term': ['very', 'neat']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['room']}, 'category': 'Rooms#Cleanliness', 'opinion': {'from': 6, 'to': 7, 'term': ['clean']}, 'sentiment': 'POS'}]"
5474,"The kitchen is completey set up , and is awsome .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['kitchen']}, 'category': 'Rooms#Design_features', 'opinion': {'from': 3, 'to': 6, 'term': ['completey', 'set', 'up']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['kitchen']}, 'category': 'Rooms#General', 'opinion': {'from': 9, 'to': 10, 'term': ['awsome']}, 'sentiment': 'POS'}]"
5475,"Having a good space to cook in was really important to me when looking for a place to stay , and Tiffany 's kitchen absolutely did n't disappoint .",ACOS,"[{'aspect': {'from': 21, 'to': 24, 'term': ['Tiffany', ""'s"", 'kitchen']}, 'category': 'Rooms#General', 'opinion': {'from': 25, 'to': 28, 'term': ['did', ""n't"", 'disappoint']}, 'sentiment': 'POS'}]"
5476,"Not realizing until I arrived , the private entrance is an added convenience .",ACOS,"[{'aspect': {'from': 7, 'to': 9, 'term': ['private', 'entrance']}, 'category': 'Facilities#General', 'opinion': {'from': 12, 'to': 13, 'term': ['convenience']}, 'sentiment': 'POS'}]"
5477,Tiffany was easy to communicate with throughout our stay and it was clear that she has put a lot of thought into making sure her guests are comfortable .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Tiffany']}, 'category': 'Service#General', 'opinion': {'from': 27, 'to': 28, 'term': ['comfortable']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Tiffany']}, 'category': 'Service#General', 'opinion': {'from': 2, 'to': 3, 'term': ['easy']}, 'sentiment': 'POS'}]"
5478,"I am here to travel , and this place is great for travelers .",ACOS,"[{'aspect': {'from': 8, 'to': 9, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 10, 'to': 11, 'term': ['great']}, 'sentiment': 'POS'}]"
5479,Stairs are not for older persons with bad knees .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Stairs']}, 'category': 'Room_Amenities#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
5480,No disturbances other than bedroom not having blackout curtains .,ACOS,"[{'aspect': {'from': 7, 'to': 9, 'term': ['blackout', 'curtains']}, 'category': 'Room_Amenities#Design_features', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
5481,The neighborhood was ideal .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['neighborhood']}, 'category': 'Location#General', 'opinion': {'from': 3, 'to': 4, 'term': ['ideal']}, 'sentiment': 'POS'}]"
5482,"This place was perfect for me , in town for a conference for work , which was a quick walk across the common .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 3, 'to': 4, 'term': ['perfect']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Location#General', 'opinion': {'from': 18, 'to': 19, 'term': ['quick']}, 'sentiment': 'POS'}]"
5483,Very clean and worth the price !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 0, 'to': 2, 'term': ['Very', 'clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 5, 'to': 6, 'term': ['price']}, 'category': 'Hotel#Prices', 'opinion': {'from': 3, 'to': 4, 'term': ['worth']}, 'sentiment': 'POS'}]"
5484,We had a very good stay .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 3, 'to': 5, 'term': ['very', 'good']}, 'sentiment': 'POS'}]"
5485,We also discovered all the smoke detectors tossed in a cabinet and a moldy bowl of popcorn in the kitchen .,ACOS,"[{'aspect': {'from': 19, 'to': 20, 'term': ['kitchen']}, 'category': 'Rooms#Cleanliness', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
5486,Super clean .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 0, 'to': 2, 'term': ['Super', 'clean']}, 'sentiment': 'POS'}]"
5487,"There 's plenty to do in Charlestown , or it 's just a short walk to get downtown .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
5488,"Tiffany is lovely and left , milk , eggs , coffee .",ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Tiffany']}, 'category': 'Service#General', 'opinion': {'from': 2, 'to': 3, 'term': ['lovely']}, 'sentiment': 'POS'}]"
5489,Loved having Netflix and Hulu available while I was preparing for my early morning meeting the next day .,ACOS,"[{'aspect': {'from': 2, 'to': 5, 'term': ['Netflix', 'and', 'Hulu']}, 'category': 'Facilities#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Loved']}, 'sentiment': 'POS'}]"
5490,We absolutely loved our time at Penny 's place !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 1, 'to': 3, 'term': ['absolutely', 'loved']}, 'sentiment': 'POS'}]"
5491,Loved the place !,ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Loved']}, 'sentiment': 'POS'}]"
5492,"Toiletries , first aid kit , cooking supplies and essentials to get you started .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Room_Amenities#Design_features', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
5493,"Nice place , off-street parking is a nice plus , and when I had a question he answered the phone right away and was very helpful .",ACOS,"[{'aspect': {'from': 3, 'to': 5, 'term': ['off-street', 'parking']}, 'category': 'Location#General', 'opinion': {'from': 7, 'to': 8, 'term': ['nice']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Nice']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 20, 'to': 22, 'term': ['right', 'away']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 24, 'to': 26, 'term': ['very', 'helpful']}, 'sentiment': 'POS'}]"
5494,Penny 's warmth is wonderful in a very intesting surrounding easily accessible for different journeys arround Boston .,ACOS,"[{'aspect': {'from': 0, 'to': 3, 'term': ['Penny', ""'s"", 'warmth']}, 'category': 'Service#General', 'opinion': {'from': 4, 'to': 5, 'term': ['wonderful']}, 'sentiment': 'POS'}, {'aspect': {'from': 9, 'to': 10, 'term': ['surrounding']}, 'category': 'Location#General', 'opinion': {'from': 7, 'to': 9, 'term': ['very', 'intesting']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Location#General', 'opinion': {'from': 10, 'to': 12, 'term': ['easily', 'accessible']}, 'sentiment': 'POS'}]"
5495,"Quaint place , great location , clean , affordable , and very cozy .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 6, 'to': 7, 'term': ['clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Hotel#Comfort', 'opinion': {'from': 11, 'to': 13, 'term': ['very', 'cozy']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Hotel#Prices', 'opinion': {'from': 8, 'to': 9, 'term': ['affordable']}, 'sentiment': 'POS'}, {'aspect': {'from': 4, 'to': 5, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 3, 'to': 4, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 0, 'to': 1, 'term': ['Quaint']}, 'sentiment': 'POS'}]"
5496,Tiffany made my first experience with airbnb perfect .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 7, 'to': 8, 'term': ['perfect']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Tiffany']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
5497,"Room and en-suite bathroom are spotless , warm , with mini fridge and spacious enough for two people .",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['bathroom']}, 'category': 'Rooms#Comfort', 'opinion': {'from': 7, 'to': 8, 'term': ['warm']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Room']}, 'category': 'Rooms#Comfort', 'opinion': {'from': 7, 'to': 8, 'term': ['warm']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Room']}, 'category': 'Rooms#Cleanliness', 'opinion': {'from': 5, 'to': 6, 'term': ['spotless']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Room']}, 'category': 'Rooms#Design_features', 'opinion': {'from': 13, 'to': 15, 'term': ['spacious', 'enough']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['bathroom']}, 'category': 'Rooms#Cleanliness', 'opinion': {'from': 5, 'to': 6, 'term': ['spotless']}, 'sentiment': 'POS'}]"
5498,This is our first time using airbnb so bare with me on my feedback .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
5499,"Tiffany 's place is very clean and homey , and I did n't want to leave !",ACOS,"[{'aspect': {'from': 0, 'to': 3, 'term': ['Tiffany', ""'s"", 'place']}, 'category': 'Hotel#Comfort', 'opinion': {'from': 7, 'to': 8, 'term': ['homey']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 3, 'term': ['Tiffany', ""'s"", 'place']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 5, 'to': 6, 'term': ['clean']}, 'sentiment': 'POS'}]"
5500,Location is within walking distance to Harvard Square .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Location']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
5501,"Everything that you could need was placed in the room for us , we did n't even need to bring anything .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
5502,Nothing bad to say about my stay here .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 0, 'to': 2, 'term': ['Nothing', 'bad']}, 'sentiment': 'POS'}]"
5503,Our stay was simply amazing and I would definitely opt to stay here again and would highly recommend .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 3, 'to': 5, 'term': ['simply', 'amazing']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 16, 'to': 18, 'term': ['highly', 'recommend']}, 'sentiment': 'POS'}]"
5504,"This is an excellent quiet , green location in Jamaica Pond , Boston , close to restaurants and shops and just a few minutes walk from the beautiful Jamaica Pond .",ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 7, 'to': 8, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 3, 'to': 4, 'term': ['excellent']}, 'sentiment': 'POS'}, {'aspect': {'from': 7, 'to': 8, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 4, 'to': 5, 'term': ['quiet']}, 'sentiment': 'POS'}]"
5505,You can rest peacefully without city noises yet there are a couple of places to visit in a walking distance .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Rooms#Comfort', 'opinion': {'from': 3, 'to': 4, 'term': ['peacefully']}, 'sentiment': 'POS'}]"
5506,The house was very clean .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['house']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 3, 'to': 5, 'term': ['very', 'clean']}, 'sentiment': 'POS'}]"
5507,had a great layout and design .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['design']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 2, 'to': 3, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 2, 'to': 3, 'term': ['great']}, 'sentiment': 'POS'}]"
5508,Gloria 's house is perfect for visiting Boston and truly living its history and heritage .,ACOS,"[{'aspect': {'from': 0, 'to': 3, 'term': ['Gloria', ""'s"", 'house']}, 'category': 'Hotel#General', 'opinion': {'from': 4, 'to': 5, 'term': ['perfect']}, 'sentiment': 'POS'}]"
5509,The washer and dryer within the apartment was useful .,ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['dryer']}, 'category': 'Room_Amenities#General', 'opinion': {'from': 8, 'to': 9, 'term': ['useful']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['washer']}, 'category': 'Room_Amenities#General', 'opinion': {'from': 8, 'to': 9, 'term': ['useful']}, 'sentiment': 'POS'}]"
5510,Very accommodating owner and allowed us to use main space without any issues .,ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['owner']}, 'category': 'Service#General', 'opinion': {'from': 0, 'to': 2, 'term': ['Very', 'accommodating']}, 'sentiment': 'POS'}]"
5511,All bedrooms very-well furnished .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['bedrooms']}, 'category': 'Rooms#Design_features', 'opinion': {'from': 2, 'to': 3, 'term': ['very-well']}, 'sentiment': 'POS'}]"
5512,"All in all , a good space and great value .",ACOS,"[{'aspect': {'from': 6, 'to': 7, 'term': ['space']}, 'category': 'Hotel#General', 'opinion': {'from': 5, 'to': 6, 'term': ['good']}, 'sentiment': 'POS'}, {'aspect': {'from': 9, 'to': 10, 'term': ['value']}, 'category': 'Hotel#General', 'opinion': {'from': 8, 'to': 9, 'term': ['great']}, 'sentiment': 'POS'}]"
5513,The conditions are good .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['conditions']}, 'category': 'Hotel#General', 'opinion': {'from': 3, 'to': 4, 'term': ['good']}, 'sentiment': 'POS'}]"
5514,"Please note this apartment did not seem to be `` lived-in , '' if you appreciate natural charm of other hosts ' human remnants .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
5515,"We would book it again without hesitation , and would recommend it to others !",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 10, 'to': 11, 'term': ['recommend']}, 'sentiment': 'POS'}]"
5516,"The place was clean and quiet , exactly like on the airbnb site .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 3, 'to': 4, 'term': ['clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Hotel#Comfort', 'opinion': {'from': 5, 'to': 6, 'term': ['quiet']}, 'sentiment': 'POS'}]"
5517,"Check-in was easy , the space was clean and cute , Tiffany left us a super helpful guide , and the location was perfect .",ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['space']}, 'category': 'Location#General', 'opinion': {'from': 7, 'to': 8, 'term': ['clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Check-in']}, 'category': 'Service#General', 'opinion': {'from': 2, 'to': 3, 'term': ['easy']}, 'sentiment': 'POS'}, {'aspect': {'from': 17, 'to': 18, 'term': ['guide']}, 'category': 'Service#General', 'opinion': {'from': 15, 'to': 17, 'term': ['super', 'helpful']}, 'sentiment': 'POS'}, {'aspect': {'from': 21, 'to': 22, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 23, 'to': 24, 'term': ['perfect']}, 'sentiment': 'POS'}, {'aspect': {'from': 5, 'to': 6, 'term': ['space']}, 'category': 'Location#General', 'opinion': {'from': 9, 'to': 10, 'term': ['cute']}, 'sentiment': 'POS'}]"
5518,We had a wonderful time staying at Gloria 's place .,ACOS,"[{'aspect': {'from': 8, 'to': 10, 'term': [""'s"", 'place']}, 'category': 'Hotel#General', 'opinion': {'from': 3, 'to': 4, 'term': ['wonderful']}, 'sentiment': 'POS'}, {'aspect': {'from': 7, 'to': 8, 'term': ['Gloria']}, 'category': 'Hotel#General', 'opinion': {'from': 3, 'to': 4, 'term': ['wonderful']}, 'sentiment': 'POS'}]"
5519,"Our master suite , on the third level , was clean , private , and quiet .",ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['master', 'suite']}, 'category': 'Rooms#Comfort', 'opinion': {'from': 12, 'to': 13, 'term': ['private']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 3, 'term': ['master', 'suite']}, 'category': 'Rooms#Cleanliness', 'opinion': {'from': 10, 'to': 11, 'term': ['clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 3, 'term': ['master', 'suite']}, 'category': 'Rooms#Comfort', 'opinion': {'from': 15, 'to': 16, 'term': ['quiet']}, 'sentiment': 'POS'}]"
5520,Heerlijke plaats om te verblijven .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['plaats']}, 'category': 'Hotel#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Heerlijke']}, 'sentiment': 'POS'}]"
5521,Would recommend to others and stay here again !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 1, 'to': 2, 'term': ['recommend']}, 'sentiment': 'POS'}]"
5522,The lofted bed was a fun experience and the TV with an apple tv was perfect for relaxing evenings .,ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['lofted', 'bed']}, 'category': 'Rooms#General', 'opinion': {'from': 5, 'to': 6, 'term': ['fun']}, 'sentiment': 'POS'}, {'aspect': {'from': 8, 'to': 10, 'term': ['the', 'TV']}, 'category': 'Room_Amenities#General', 'opinion': {'from': 17, 'to': 18, 'term': ['relaxing']}, 'sentiment': 'POS'}, {'aspect': {'from': 8, 'to': 10, 'term': ['the', 'TV']}, 'category': 'Room_Amenities#General', 'opinion': {'from': 15, 'to': 16, 'term': ['perfect']}, 'sentiment': 'POS'}]"
5523,I felt safe walking around late at night .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Location#General', 'opinion': {'from': 2, 'to': 3, 'term': ['safe']}, 'sentiment': 'POS'}]"
5524,We enjoyed our stay a lot and the advice we were given was very helpful as we planned our days out !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 1, 'to': 2, 'term': ['enjoyed']}, 'sentiment': 'POS'}, {'aspect': {'from': 8, 'to': 9, 'term': ['advice']}, 'category': 'Service#General', 'opinion': {'from': 13, 'to': 15, 'term': ['very', 'helpful']}, 'sentiment': 'POS'}]"
5525,"We would definitely stay here again and can just recommend this place , as it is also pretty near to the centre of Boston - 3 $ by uber !",ACOS,"[{'aspect': {'from': 11, 'to': 12, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 9, 'to': 10, 'term': ['recommend']}, 'sentiment': 'POS'}, {'aspect': {'from': 11, 'to': 12, 'term': ['place']}, 'category': 'Location#General', 'opinion': {'from': 17, 'to': 18, 'term': ['pretty']}, 'sentiment': 'POS'}]"
5526,Penny 's airbnb met all our needs for our weekend in Jamaica Plain !,ACOS,"[{'aspect': {'from': 0, 'to': 3, 'term': ['Penny', ""'s"", 'airbnb']}, 'category': 'Hotel#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
